,index,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_011E,B03002_012E,B03002_013E,B03002_014E,B03002_015E,B03002_016E,B03002_017E,B03002_018E,B03002_019E,B03002_020E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E
1112,"Census Tract 402.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:040202",7194,3926,348,160,120,223,123,31,32,189,7194,5791,3133,367,0,1832,0,14,445,0,445,1403,883,28,0,125,0,307,60,37,5129,124,0,0,0,0,0,18,18,13,14,173,21,103,18,130,1019,97,236,491,291,1487,753,87,36
1113,"Census Tract 207.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:020702",7843,3903,205,437,266,122,207,40,46,170,7843,6110,3707,724,0,1512,0,0,167,14,153,1733,733,7,0,0,0,815,178,86,4998,149,0,0,0,37,1,31,0,150,52,71,67,83,144,338,1039,147,352,530,361,1121,261,38,26
1114,"Census Tract 208.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:020802",7857,4204,116,398,285,186,29,29,83,331,7857,6825,2068,621,0,3599,0,0,537,63,474,1032,770,0,120,0,0,141,1,1,5324,502,0,0,33,0,50,0,42,91,73,39,0,111,47,122,1297,64,95,745,264,1138,402,193,16
1115,"Census Tract 203.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:020301",5295,2622,316,349,157,176,10,3,27,9,5295,4887,3896,188,10,703,0,42,48,0,48,408,335,0,0,0,0,57,16,16,3506,61,0,0,0,0,0,0,0,0,16,36,15,54,16,80,572,21,96,344,183,1249,471,192,100
1116,"Census Tract 8387, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:838700",4631,2019,211,220,207,57,67,50,23,178,4631,4364,47,4145,0,0,0,172,0,0,0,267,130,137,0,0,0,0,0,0,2647,47,0,0,30,0,0,0,0,71,0,13,62,182,331,118,574,202,210,416,214,135,21,0,21
1117,"Census Tract 8415, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:841500",2932,1342,85,140,158,55,117,53,40,77,2932,2827,41,2721,0,21,0,17,27,0,27,105,105,0,0,0,0,0,0,0,1618,14,0,0,0,8,0,0,0,35,0,49,38,43,72,36,473,27,116,384,134,121,45,23,0
1118,"Census Tract 8386, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:838600",1467,665,110,58,28,35,34,17,14,56,1467,1352,26,1326,0,0,0,0,0,0,0,115,7,0,0,0,0,58,50,50,758,7,0,0,4,0,0,0,10,0,25,16,40,97,71,31,95,57,47,176,78,4,0,0,0
1119,"Census Tract 8373, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:837300",2519,1349,78,172,131,41,34,34,24,106,2519,2429,126,2262,0,41,0,0,0,0,0,90,7,0,0,0,0,83,0,0,1454,7,0,0,0,0,0,0,0,16,0,13,14,44,92,44,366,131,63,336,110,131,81,6,0
1120,"Census Tract 8378, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:837800",3110,1619,188,94,101,111,27,9,57,94,3110,2847,470,2168,0,151,0,0,58,7,51,263,98,49,0,0,0,116,0,0,1813,0,0,0,0,11,0,0,0,8,0,6,23,80,112,64,305,93,45,277,52,525,150,54,8
1121,"Census Tract 8374, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:837400",2403,1279,63,13,69,64,87,0,19,111,2403,2379,141,2187,0,15,0,0,36,6,30,24,24,0,0,0,0,0,0,0,1539,16,0,0,0,0,0,0,16,0,0,27,67,78,103,69,445,68,70,237,150,141,38,6,8
1122,"Census Tract 8369, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:836900",1422,567,55,71,59,68,37,0,12,33,1422,1333,108,1211,0,14,0,0,0,0,0,89,75,0,0,0,0,14,0,0,745,0,0,0,0,0,0,0,0,0,0,14,19,25,29,53,261,37,5,145,27,75,48,0,7
1123,"Census Tract 8241.23, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824123",7929,3853,134,290,356,157,73,76,11,113,7929,6784,6147,171,0,365,0,0,101,0,101,1145,729,0,0,0,0,360,56,56,5427,30,0,0,0,0,79,0,0,0,0,0,22,0,101,146,1593,120,579,826,565,995,327,17,27
1124,"Census Tract 8241.17, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:824117",9699,4935,222,396,172,312,243,62,88,232,9699,9142,7627,264,0,1155,0,0,96,0,96,557,385,0,0,17,0,61,94,94,6682,39,0,0,0,0,0,0,36,37,0,37,42,50,70,29,1421,103,505,604,820,1697,898,92,202
