,GEOID,total_pop,medhhinc,year,share_BA+,a35to64_share
367,17031060200,2126,62857,2010-14,61.3,40.1
368,17031060300,3176,105563,2010-14,79.4,35.9
369,17031060400,4003,115163,2010-14,72.9,33.7
370,17031060500,1235,37500,2010-14,41.7,27.7
371,17031060800,4840,72258,2010-14,73.9,33.9
372,17031060900,6758,60176,2010-14,67.4,36.6
373,17031061000,1716,89766,2010-14,75.7,21.299999999999997
374,17031061100,1309,79559,2010-14,79.4,18.0
375,17031061200,2235,99211,2010-14,89.0,20.2
376,17031061500,1859,96364,2010-14,69.1,24.9
377,17031061800,1130,49448,2010-14,64.7,31.2
378,17031061901,3785,49796,2010-14,73.9,35.4
379,17031061902,4045,50732,2010-14,80.6,34.9
380,17031062000,2897,80745,2010-14,66.9,36.099999999999994
381,17031062100,3372,101275,2010-14,72.9,23.200000000000003
382,17031062200,2987,112564,2010-14,80.9,26.199999999999996
383,17031062300,1716,112768,2010-14,86.8,30.5
384,17031062400,1622,117368,2010-14,76.3,25.400000000000002
385,17031062500,1342,102250,2010-14,89.0,29.3
386,17031062600,2281,95491,2010-14,77.1,37.699999999999996
387,17031062700,2757,100625,2010-14,77.2,34.1
388,17031062800,3792,116310,2010-14,82.8,28.7
389,17031062900,4176,115526,2010-14,82.3,24.299999999999997
390,17031063000,3055,85426,2010-14,87.7,21.8
391,17031063100,2399,84896,2010-14,78.8,26.2
392,17031063200,6580,54187,2010-14,77.8,32.8
393,17031063301,2626,43958,2010-14,86.1,23.1
394,17031063302,4186,67800,2010-14,76.9,28.099999999999998
395,17031063303,1157,76500,2010-14,77.0,31.9
396,17031063400,2158,83458,2010-14,79.5,21.299999999999997
397,17031070101,3988,68180,2010-14,80.5,34.7
398,17031070102,2656,64507,2010-14,71.3,31.0
399,17031070103,1679,51768,2010-14,90.2,20.6
400,17031070200,3937,86168,2010-14,79.0,26.7
401,17031070300,3383,99821,2010-14,85.2,21.9
402,17031070400,3440,84038,2010-14,73.4,32.4
403,17031070500,3022,104306,2010-14,74.7,29.8
404,17031070600,3083,150987,2010-14,90.8,35.1
405,17031070700,3983,120875,2010-14,76.6,29.099999999999998
406,17031071000,4277,99306,2010-14,76.6,15.6
407,17031071100,2932,108659,2010-14,93.1,22.9
408,17031071200,2016,89583,2010-14,87.3,26.1
409,17031071300,3414,90367,2010-14,92.0,35.099999999999994
410,17031071400,4357,65846,2010-14,77.0,35.0
411,17031071500,5710,86267,2010-14,90.4,34.0
412,17031071600,1715,117833,2010-14,83.6,35.49999999999999
413,17031071700,1813,120938,2010-14,85.0,39.8
414,17031071800,2670,134271,2010-14,83.4,42.6
415,17031080100,6657,90597,2010-14,94.0,27.500000000000004
416,17031080201,3235,74195,2010-14,77.7,42.599999999999994
417,17031080202,3533,77172,2010-14,93.7,39.5
418,17031080300,4480,104598,2010-14,86.0,29.999999999999996
419,17031080400,4907,25208,2010-14,63.0,32.1
420,17031081000,7427,45593,2010-14,63.0,23.3
421,17031081100,3657,56607,2010-14,67.7,29.2
422,17031081201,4552,73263,2010-14,87.3,30.0
423,17031081202,3221,81154,2010-14,83.7,32.7
424,17031081300,5053,102096,2010-14,80.3,39.1
425,17031081401,2516,81818,2010-14,91.1,32.8
426,17031081402,4389,105625,2010-14,76.7,40.5
427,17031081403,7004,76327,2010-14,89.7,32.0
428,17031081500,4400,94327,2010-14,89.3,35.8
429,17031081600,3177,85395,2010-14,90.2,38.4
430,17031081700,3607,92011,2010-14,84.7,31.5
431,17031081800,7488,100650,2010-14,85.5,42.199999999999996
432,17031081900,1152,120938,2010-14,61.2,38.5
433,17031090100,3262,70221,2010-14,33.4,44.3
434,17031090200,6406,83561,2010-14,39.8,44.6
435,17031090300,1325,90938,2010-14,58.4,45.0
436,17031100100,5666,66941,2010-14,42.5,41.7
437,17031100200,6605,78084,2010-14,26.5,44.3
438,17031100300,6029,59063,2010-14,31.7,39.5
439,17031100400,3027,85761,2010-14,38.6,47.0
440,17031100500,5156,82478,2010-14,29.8,48.300000000000004
441,17031100600,5254,58750,2010-14,27.4,47.699999999999996
442,17031100700,4749,73125,2010-14,28.0,44.2
443,17031110100,5923,74306,2010-14,33.3,39.5
444,17031110200,3017,56327,2010-14,36.7,43.4
445,17031110300,5314,77986,2010-14,31.5,48.2
446,17031110400,4439,64289,2010-14,28.7,44.300000000000004
447,17031110501,4636,67670,2010-14,41.5,39.900000000000006
448,17031110502,3646,46065,2010-14,19.3,40.0
449,17031120100,3993,107839,2010-14,68.5,42.7
450,17031120200,4552,95417,2010-14,53.8,41.300000000000004
451,17031120300,6179,104397,2010-14,65.0,45.400000000000006
452,17031120400,3754,77583,2010-14,37.1,44.3
453,17031130100,5158,30231,2010-14,51.5,31.4
454,17031130200,1598,75030,2010-14,55.7,44.599999999999994
455,17031130300,5260,57270,2010-14,42.1,39.0
456,17031140100,4079,36862,2010-14,18.1,32.3
457,17031140200,5895,44104,2010-14,24.3,29.6
458,17031140301,2748,59500,2010-14,20.8,39.7
459,17031140302,4472,56554,2010-14,21.0,37.5
460,17031140400,7186,62847,2010-14,35.4,40.49999999999999
461,17031140500,4121,53226,2010-14,17.9,40.60000000000001
462,17031140601,2969,48947,2010-14,12.2,40.4
463,17031140602,5614,45983,2010-14,15.9,35.3
464,17031140701,2385,55735,2010-14,33.3,40.199999999999996
465,17031140702,6252,49375,2010-14,20.5,35.0
466,17031140800,7209,71189,2010-14,45.0,44.2
467,17031150200,7821,56711,2010-14,32.3,48.9
468,17031150300,7526,65859,2010-14,28.5,43.800000000000004
469,17031150401,4805,53333,2010-14,33.9,43.9
470,17031150402,3695,56273,2010-14,16.1,39.7
471,17031150501,3743,67989,2010-14,30.0,41.800000000000004
472,17031150502,4290,46615,2010-14,20.6,43.7
473,17031150600,3868,56361,2010-14,19.6,37.7
474,17031150700,4621,60172,2010-14,15.7,42.4
475,17031150800,5451,62357,2010-14,19.6,43.699999999999996
